,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File FERT/1: Births (both sexes combined) by region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/FERT/F01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright ? 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
1,Estimates,WORLD,,900,World,0,490291.785,514362.273,561400.825,598599.363,612104.175,608084.113,647106.919,697950.24,669030.915,660106.261,666529.348,686395.224,697771.107,701277.931,697667.775,696097.145,698097.278,701021.554,703586.323,703038.916,699840.41,694420.735,688958.882,682902.045,676768.775,669922.891,661160.115,651221.014,640450.166,629549.242
2,Estimates,UN development groups,a,1803,Label/Separator,900,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
3,Estimates,More developed regions,b,901,Development Group,1803,93814.379,95046.288,91755.265,84975.626,82451.848,79023.605,79126.218,78301.35,71425.379,66063.376,66013.631,69917.133,69132.585,66942.06,65007.478,63306.687,62500.718,62779.161,63245.814,63089.054,62283.019,61349.868,60721.968,60575.625,60726.172,60844.449,60702.984,60311.2,59895.352,59660.662
4,Estimates,Less developed regions,c,902,Development Group,1803,396477.406,419315.985,469645.56,513623.737,529652.327,529060.508,567980.701,619648.89,597605.536,594042.885,600515.717,616478.091,628638.522,634335.871,632660.297,632790.458,635596.56,638242.393,640340.509,639949.862,637557.391,633070.867,628236.914,622326.42,616042.603,609078.442,600457.131,590909.814,580554.814,569888.58
5,Estimates,Least developed countries,d,941,Development Group,902,49120.955,54510.62,60887.889,68266.598,76140.234,84498.886,94275.781,102917.337,112022.278,122140.902,131688.28,140531.636,148952.409,157955.618,167484.907,176323.668,184440.961,191600.25,198153.452,203817.746,208693.368,212882.053,216331.682,218863.17,220506.134,221301.969,221249.449,220541.46,219234.053,217353.979
6,Estimates,"Less developed regions, excluding least developed countries",e,934,Development Group,902,347356.451,364805.365,408757.671,445357.139,453512.093,444561.622,473704.92,516731.553,485583.258,471901.983,468827.437,475946.455,479686.113,476380.253,465175.39,456466.79,451155.599,446642.143,442187.057,436132.116,428864.023,420188.814,411905.232,403463.25,395536.469,387776.473,379207.682,370368.354,361320.761,352534.601
7,Estimates,"Less developed regions, excluding China",,948,Development Group,1803,270136.988,300780.869,330494.43,357946.134,387307.767,418276.496,455636.795,478137.642,490299.022,499959.001,513268.035,528743.99,539043.732,548006.7,554112.601,559732.499,565094.538,569107.717,572225.975,573835.857,573787.854,571618.65,568759.874,564380.212,559513.923,553972.266,546965.045,539105.389,530313.698,521023.294
8,Estimates,Land-locked Developing Countries (LLDC),f,1636,Special other,1803,25148.756,28295.566,31615.811,34204.851,38235.866,42653.37,47630.911,52983.391,56946.69,60738.279,64584.758,70177,75556.668,79400.533,82685.37,85758.309,89086.384,92226.835,94759.821,96322.777,97396.984,98131.088,98692.266,98816.546,98460.654,97787.889,96819.086,95550.982,94117.15,92572.811
9,Estimates,Small Island Developing States (SIDS),g,1637,Special other,1803,5111.22,5502.393,6166.713,6128.639,6123.525,5979.274,6372.271,6622.443,6653.199,6640.386,6561.658,6538.924,6593.805,6502.466,6411.419,6339.598,6273.135,6184.512,6099.44,6011.579,5911.818,5804.547,5689.732,5568.655,5433.268,5303.481,5165.838,5024.736,4884.548,4741.538
10,Estimates,World Bank income groups,,1802,Label/Separator,900,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
11,Estimates,High-income countries,h,1503,Income Group,1802,80971.592,83753.802,84581.454,81083.826,78356.939,74816.339,74551.77,73622.374,72920.136,69528.495,68450.56,70888.881,69656.752,67552.569,66652.921,65695.712,64994.038,64692.067,64607.906,64371.664,63807.374,63230.409,62804.797,62560.201,62428.579,62353.584,62252.613,62015.8,61741.826,61537.039
12,Estimates,Middle-income countries,h,1517,Income Group,1802,375559.767,392753.935,435101.894,470352.163,480850.638,474408.841,506199.997,550404.768,513806.011,499082.549,497918.42,505810.368,510031.58,507735.978,496381.815,487520.823,482668.584,479113.034,475713.834,470424.238,463713.792,455583.715,447963.402,440366.538,433378.548,426309.485,418124.486,409547.143,400697.832,392037.267
13,Estimates,Upper-middle-income countries,h,1502,Income Group,1517,202118.062,201497.713,227332.799,246017.455,237423.92,211392.038,219304.205,249564.417,207014.646,188182.783,179373.541,181643.026,186603.779,183427.258,170840.261,160764.708,155440.533,152969.259,151360.838,148225.778,143624.874,138434.516,133862.927,130421.677,127715.782,125020.476,121766.83,118072.751,114464.221,111297.339
14,Estimates,Lower-middle-income countries,h,1501,Income Group,1517,173441.705,191256.222,207769.095,224334.708,243426.718,263016.803,286895.792,300840.351,306791.365,310899.766,318544.879,324167.342,323427.801,324308.72,325541.554,326756.115,327228.051,326143.775,324352.996,322198.46,320088.918,317149.199,314100.475,309944.861,305662.766,301289.009,296357.656,291474.392,286233.611,280739.928
15,Estimates,Low-income countries,h,1500,Income Group,1802,33572.168,37651.104,41497.773,46937.275,52697.086,58674.773,66160.807,73703.511,82081.047,91264.909,99915.633,109444.155,117833.778,125746.205,134387.774,142628.09,150176.084,156957.768,163009.175,167989.554,172065.895,175352.44,177936.237,179722.511,180712.331,181014.155,180540.165,179416.878,177771.008,175737.781
16,Estimates,No income group available,,1518,Income Group,1802,188.258,203.432,219.704,226.099,199.512,184.16,194.345,219.587,223.721,230.308,244.735,251.82,248.997,243.179,245.265,252.52,258.572,258.685,255.408,253.46,253.349,254.171,254.446,252.795,249.317,245.667,242.851,241.193,239.5,237.155
17,Estimates,Geographic regions,i,1840,Label/Separator,900,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
18,Estimates,Africa,j,903,Region,1840,57582.718,63851.574,71218.897,79405.504,89551.648,101369.849,114418.462,126310.494,136368.485,148663.883,163203.397,180855.457,199194.633,212112.876,225108.727,238808.815,253035.5,266511.09,278256.503,287787.106,295881.719,302745.589,308804.853,313508.824,316892.078,318822.406,319172.968,318462.847,316916.382,314608.513
19,Estimates,Asia,k,935,Region,1840,309971.04,320086.675,358074.067,391526.478,396208.438,378839.374,401184.718,439409.766,406673.794,391187.055,384724.272,385179.954,379581.728,372697.319,359338.869,347481.093,337826.201,328726.291,320539.658,311782.712,302478.626,292372.457,282768.169,273460.54,264988.441,257167.29,249177.665,241301.836,233442.717,226024.202
20,Estimates,Europe,l,908,Region,1840,60499.321,61675.635,59250.333,54411.333,52100.461,50597.246,50152.471,48811.214,41738.902,37288.778,36892.161,39857.076,40215.988,38847.368,36606.517,34635.626,33795.439,34055.314,34539.817,34390.282,33487.896,32332.834,31510.392,31231.183,31300.244,31288.379,30955.375,30373.411,29773.044,29393.179
21,Estimates,Latin America and the Caribbean,m,904,Region,1840,38399.428,43003.97,47993.695,50980.73,53264.581,56555.251,58989.343,59612.54,59517.617,58847.758,56887.582,54566.688,53754.486,52746.134,51004.237,49078.487,47220.369,45420.74,43860.511,42519.152,41102.15,39659.161,38265.035,36923.624,35714.004,34595.816,33539.857,32491.145,31471.496,30501.669
22,Estimates,Northern America,n,905,Region,1840,21934.108,23638.907,22637.492,19943.576,18494.249,18336.111,19851.198,21162.687,21932.964,21261.985,21895.287,22711.27,21679.589,21438.111,22127.247,22575.573,22644.296,22648.549,22621.671,22697.638,22968.787,23356.446,23638.933,23781.06,23845.739,23983.024,24227.894,24503.675,24762.107,24946.364
23,Estimates,Oceania,o,909,Region,1840,1905.17,2105.512,2226.341,2331.742,2484.798,2386.282,2510.727,2643.539,2799.153,2856.802,2926.649,3224.779,3344.683,3436.123,3482.178,3517.551,3575.473,3659.57,3768.163,3862.026,3921.232,3954.248,3971.5,3996.814,4028.269,4065.976,4086.356,4088.1,4084.42,4075.315
24,Estimates,Sustainable Development Goal (SDG) regions,p,1828,Label/Separator,900,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
25,Estimates,SUB-SAHARAN AFRICA,,947,SDG region,1828,44531.708,49353.894,55226.406,61980.927,70787.782,80828.67,91990.318,103104.044,113637.217,126589.432,140705.835,155986.751,170121.924,182220.487,195784.511,209681.575,223076.468,235170.875,245934.66,255079.515,263240.208,270173.159,276209.036,280889.088,284337.137,286464.148,287158.466,286931.161,285899.421,284064.854
26,Estimates,Eastern Africa,,910,Subregion,947,17227.632,19211.071,21795.89,24778.981,28574.723,32879.786,37567.702,42552.7,46777.677,52194.265,57426.1,62697.423,67230.711,71481.161,76607.77,81359.444,85549.74,89116.955,92423.148,95304.013,97761.157,99772.876,101358.974,102420.809,103053.974,103325.853,103271.408,102810.332,102130.793,101211.331
27,Estimates,Burundi,,108,Country,910,605.461,650.277,713.022,789.618,856.857,987.013,1145.123,1304.826,1368.918,1354.792,1471.556,1730.267,1987.053,2164.107,2329.38,2491.513,2674.056,2874.457,3073.47,3251.889,3397.284,3523.131,3631.04,3737.668,3839.911,3911.675,3967.348,3998.44,4002.664,3991.429
28,Estimates,Comoros,,174,Country,910,37.704,43.648,47.073,50.368,55.045,64.159,76.195,84.729,90.496,97.562,106.361,116.423,126.32,132.115,137.061,142.088,147.671,153.054,157.79,161.079,162.861,164.517,165.224,165.975,165.415,163.717,161.604,158.623,155.357,151.808
29,Estimates,Djibouti,,262,Country,910,13.491,16.392,21.958,30.85,42.948,61.24,80.044,101.534,118.584,111.775,112.909,107.577,106.011,103.158,99.469,94.882,90.973,88.888,88.587,88.881,87.185,83.853,80.376,77.625,75.981,75.16,73.877,71.916,69.716,67.77
30,Estimates,Eritrea,,232,Country,910,204.36,232.671,260.631,291.117,324.216,366.471,422.004,468.95,428.309,358.633,442.199,564.24,551.978,527.655,521.189,546.484,584.517,615.584,628.659,626.747,625.576,633.018,641.36,644.004,636.057,622.88,607.944,594.72,583.753,570.771
31,Estimates,Ethiopia,,231,Country,910,4688.782,5033.834,5658.644,6360.496,7406.326,8212.8,9335.029,10681.512,12237.363,14015.213,14799.858,15287.92,16371.463,17572.229,18513.46,19049.721,19345.586,19584.969,19884.879,20024.64,20045.232,19859.169,19613.366,19301.383,18883.85,18505.473,18085.934,17582.429,17128.274,16683.324
32,Estimates,Kenya,,404,Country,910,1671.664,1938.541,2247.079,2638.991,3172.255,3760.938,4407.713,4935.811,5195.1,6057.51,6718.145,7296.52,7388.27,7345.341,7779.775,8195.627,8500.876,8598.869,8619.546,8627.534,8660.958,8647.294,8573.666,8417.308,8228.015,8033.694,7839.08,7659.057,7473.149,7270.516
33,Estimates,Madagascar,,450,Country,910,1058.186,1180.312,1315.4,1483.977,1693.974,1921.424,2121.458,2406.924,2767.059,3131.901,3364.095,3606.6,3872.083,4259.994,4650.814,4992.18,5275.856,5564.949,5857.087,6156.714,6415.892,6624.417,6801.377,6954.805,7079.034,7157.546,7200.58,7211.839,7173.428,7106.346
34,Estimates,Malawi,,454,Country,910,776.297,882.495,1009.075,1155.003,1308.62,1503.893,1718.823,2085.037,2202.015,2323.777,2570.994,2873.986,2961.983,3072.248,3369.433,3648.501,3856.857,4024.294,4181.545,4319.075,4456.225,4553.749,4625.044,4650.555,4644.167,4616.255,4573.794,4512.937,4434.643,4350.445
35,Estimates,Mauritius,1,480,Country,910,115.578,132.591,154.618,131.184,115.334,123.171,100.601,108.795,111.518,103.489,96.404,81.929,69.846,64.826,62.95,61.251,59.356,55.78,51.634,48.569,46.989,46.227,45.275,43.709,41.777,39.932,38.594,37.777,37.057,36.129
36,Estimates,Mayotte,,175,Country,910,3.518,4.599,6.117,7.855,9.851,12.426,14.968,18.507,19.678,24.698,29.955,35.185,35.576,36.24,38.146,40.636,42.969,44.519,45.203,45.239,45.095,45.004,44.943,44.64,43.973,43.097,42.125,41.283,40.502,39.729
37,Estimates,Mozambique,,508,Country,910,1442.233,1567.502,1775.277,2008.454,2258.858,2554.211,2817.548,2881.009,3210.97,3725.375,4232.247,4612.722,5005.312,5495.085,6033.881,6536.696,6983.549,7393.921,7746.454,8061.268,8337.123,8601.707,8815.506,8971.76,9092.758,9146.852,9168.969,9150.1,9129.583,9045.016
38,Estimates,Rижunion,,638,Country,910,66.925,70.586,78.161,77.901,63.395,58.3,62.442,70.647,70.601,71.493,75.134,72.388,70.295,65.533,63.875,63.642,63.049,61.074,58.563,56.14,54.099,52.524,51.001,49.186,47.163,45.238,43.399,41.759,40.177,38.571
39,Estimates,Rwanda,,646,Country,910,633.458,729.424,778.016,857.093,1035.872,1269.938,1502.038,1670.536,1471.124,1430.415,1592.996,1706.148,1772.954,1951.412,2007.585,2066.452,2133.878,2203.714,2264.579,2286.743,2281.822,2250.278,2214.38,2175.377,2130.711,2079.077,2022.506,1965.369,1908.127,1856.683
40,Estimates,Seychelles,,690,Country,910,7.371,7.536,8.487,9.026,9.306,9.22,9.077,8.535,8.14,7.492,8.154,8.526,8.183,8.129,7.479,7.099,7,7.009,6.909,6.645,6.28,5.995,5.788,5.615,5.423,5.181,4.928,4.684,4.476,4.288
41,Estimates,Somalia,,706,Country,910,581.173,629.43,689.604,764.638,843.033,1123.003,1436.439,1633.021,1824.879,2051.235,2294.211,2558.275,2775.898,3107.683,3503.012,3896.196,4226.149,4510.391,4799.682,5127.724,5445.754,5715.423,5929.143,6114.36,6282.95,6461.597,6593.63,6680.898,6716.332,6701.436
42,Estimates,South Sudan,,728,Country,910,615.351,684.452,760.432,844.365,927.28,1030.057,1155.636,1283.331,1234.651,1261.785,1426.05,1677.526,1876.361,1927.514,1975.317,2069.909,2161.473,2240.226,2310.806,2367.542,2414.448,2452.969,2481.323,2492.119,2494.134,2482.717,2459.815,2426.043,2394.999,2352.549
43,Estimates,Uganda,,800,Country,910,1399.118,1564.832,1800.199,2112.715,2437.386,2826.044,3329.936,3966.987,4704.018,5415.33,6137.948,6924.654,7577.15,8068.514,8611.077,8989.586,9299.572,9501.052,9670.989,9770.499,9806.615,9794.181,9705.01,9573.396,9421.775,9229.906,8998.535,8771.4,8544.015,8324.417
44,Estimates,United Republic of Tanzania,2,834,Country,910,1994.305,2303.569,2651.902,3057.362,3510.532,4052.126,4596.577,5244.331,5914.182,6583.484,7507.634,8554.888,9324.117,10260.034,11305.515,12461.257,13645.327,14765.658,15858.735,16943.619,17939.224,18967.669,19938.779,20810.754,21600.744,22256.953,22855.222,23322.122,23681.633,23996.092
45,Estimates,Zambia,,894,Country,910,593.394,700.97,830.1,954.221,1129.679,1314.054,1504.836,1728.671,1942.942,2209.677,2498.913,2700.292,2934.269,3107.921,3454.299,3803.728,4129.944,4421.492,4703.478,4970.316,5243.323,5509.076,5769.862,5984.6,6176.863,6348.15,6502.583,6608.418,6685.983,6737.253
46,Estimates,Zimbabwe,,716,Country,910,719.263,837.41,990.095,1153.747,1373.956,1629.298,1731.215,1869.007,1857.13,1858.629,1940.337,2181.357,2415.589,2211.423,2144.053,2201.996,2321.082,2407.055,2414.553,2363.15,2289.172,2242.675,2226.511,2205.97,2163.273,2100.753,2030.941,1970.518,1926.925,1886.759
47,Estimates,Middle Africa,,911,Subregion,947,6287.571,7005.187,7806.831,8800.562,10039.755,11516.129,13307.613,15360.027,17839.784,20505.875,23523.164,27060.032,30446.091,33325.052,36399.47,39670.765,42918.811,45824.719,48403.882,50563.007,52516.381,54326.107,55935.017,57275.94,58340.238,59052.998,59371.047,59643.04,59692.718,59554.556
48,Estimates,Angola,,24,Country,911,1162.277,1310.475,1352.662,1444.232,1657.154,1924.231,2305.794,2767.025,3209.497,3678.195,4284.384,5004.301,5661.645,6215.232,6940.19,7769.262,8636.127,9475.25,10320.659,11118.279,11916.389,12721.021,13517.849,14248.573,14951.941,15576.013,16124.533,16688.617,17160.917,17504.367
49,Estimates,Cameroon,,120,Country,911,951.896,1038.187,1185.083,1363.252,1570.733,1829.962,2170.997,2497.601,2775.47,3044.693,3421.185,3835.062,4175.895,4437.254,4717.374,5021.613,5316.235,5602.334,5866.456,6109.791,6303.839,6490.661,6660.187,6809.387,6931.778,7011.942,7061.383,7102.226,7080.884,7073.489
50,Estimates,Central African Republic,,140,Country,911,284.156,311.294,338.94,369.729,396.734,432.136,503.496,568.593,625,710.259,789.524,841.457,836.793,825.318,876.763,935.676,967.907,972.393,966.423,963.322,960.073,955.55,947.389,931.562,910.107,885.963,861.833,840.492,817.16,793.057
51,Estimates,Chad,,148,Country,911,608.171,660.482,719.39,797.956,929.485,1062.641,1200.631,1397.919,1664.275,1968.597,2319.988,2648.456,2937.923,3239.404,3530.96,3800.625,4043.337,4252.255,4441.424,4594.552,4730.072,4845.72,4936.917,5004.95,5050.628,5075.134,5067.322,5038.757,4989.774,4928.45
52,Estimates,Congo,,178,Country,911,183.082,204.321,234.249,271.597,314.226,358.155,388.335,424.9,479.28,560.249,650.051,747.953,821.221,857.167,917.255,1000.534,1091.308,1173.642,1247.378,1312.347,1374.602,1436.818,1500.661,1554.725,1609.615,1650.361,1683.114,1709.927,1728.446,1744.604
53,Estimates,Democratic Republic of the Congo,,180,Country,911,2962.02,3337.578,3819.663,4377.256,4982.014,5706.042,6503.34,7430.499,8779.359,10203.576,11676.666,13538.319,15492.085,17168.551,18810.591,20514.035,22209.154,23662.943,24841.648,25717.652,26467.783,27104.891,27596.876,27947.001,28101.392,28067.289,27789.942,27486.727,27150.355,26755.452
54,Estimates,Equatorial Guinea,,226,Country,911,49.435,51.251,53.962,59.636,58.651,54.266,65.249,82.328,95.144,114.338,137.469,164.563,191,215.073,238.356,258.061,272.718,284.872,296.286,305.36,312.111,317.582,320.968,322.264,322.51,321.026,318.678,315.424,311.609,308.108
55,Estimates,Gabon,,266,Country,911,72.368,76.939,87.68,101.971,114.635,130.174,149.176,168.485,186.874,199.032,214.238,248.228,296.88,333.827,333.249,333.56,342.035,359.039,379.802,396.254,404.512,405.649,404.753,406.949,410.88,413.445,412.182,408.838,401.71,395.668
56,Estimates,Sao Tome and Principe,,678,Country,911,14.166,14.66,15.202,14.933,16.123,18.522,20.595,22.677,24.885,26.936,29.659,31.693,32.649,33.226,34.732,37.399,39.99,41.991,43.806,45.45,47,48.215,49.417,50.529,51.387,51.825,52.06,52.032,51.863,51.361
