"name","country_code","year","value"
"Albania","8","1950","1.058"
"Albania","8","1955","1.059"
"Albania","8","1960","1.059"
"Albania","8","1965","1.06"
"Albania","8","1970","1.062"
"Albania","8","1975","1.07"
"Albania","8","1980","1.085"
"Albania","8","1985","1.079"
"Albania","8","1990","1.079"
"Albania","8","1995","1.089"
"Albania","8","2000","1.117"
"Albania","8","2005","1.125"
"Albania","8","2010","1.101"
"Albania","8","2015","1.086"
"Albania","8","2020","1.072"
"Albania","8","2025","1.064"
"Albania","8","2030","1.06"
"Albania","8","2035","1.059"
"Albania","8","2040","1.059"
"Albania","8","2045","1.059"
"Albania","8","2050","1.059"
"Albania","8","2055","1.059"
"Albania","8","2060","1.058"
"Albania","8","2065","1.058"
"Albania","8","2070","1.058"
"Albania","8","2075","1.058"
"Albania","8","2080","1.058"
"Albania","8","2085","1.058"
"Albania","8","2090","1.058"
"Albania","8","2095","1.059"
"Armenia","51","1950","1.065"
"Armenia","51","1955","1.064"
"Armenia","51","1960","1.064"
"Armenia","51","1965","1.064"
"Armenia","51","1970","1.064"
"Armenia","51","1975","1.064"
"Armenia","51","1980","1.064"
"Armenia","51","1985","1.064"
"Armenia","51","1990","1.072"
"Armenia","51","1995","1.144"
"Armenia","51","2000","1.17"
"Armenia","51","2005","1.156"
"Armenia","51","2010","1.138"
"Armenia","51","2015","1.113"
"Armenia","51","2020","1.09"
"Armenia","51","2025","1.073"
"Armenia","51","2030","1.066"
"Armenia","51","2035","1.064"
"Armenia","51","2040","1.064"
"Armenia","51","2045","1.064"
"Armenia","51","2050","1.064"
"Armenia","51","2055","1.064"
"Armenia","51","2060","1.064"
"Armenia","51","2065","1.064"
"Armenia","51","2070","1.064"
"Armenia","51","2075","1.064"
"Armenia","51","2080","1.064"
"Armenia","51","2085","1.064"
"Armenia","51","2090","1.064"
"Armenia","51","2095","1.064"
"Azerbaijan","31","1950","1.064"
"Azerbaijan","31","1955","1.064"
"Azerbaijan","31","1960","1.064"
"Azerbaijan","31","1965","1.063"
"Azerbaijan","31","1970","1.064"
"Azerbaijan","31","1975","1.064"
"Azerbaijan","31","1980","1.064"
"Azerbaijan","31","1985","1.065"
"Azerbaijan","31","1990","1.076"
"Azerbaijan","31","1995","1.122"
"Azerbaijan","31","2000","1.163"
"Azerbaijan","31","2005","1.168"
"Azerbaijan","31","2010","1.158"
"Azerbaijan","31","2015","1.14"
"Azerbaijan","31","2020","1.121"
"Azerbaijan","31","2025","1.101"
"Azerbaijan","31","2030","1.083"
"Azerbaijan","31","2035","1.071"
"Azerbaijan","31","2040","1.066"
"Azerbaijan","31","2045","1.065"
"Azerbaijan","31","2050","1.064"
"Azerbaijan","31","2055","1.064"
"Azerbaijan","31","2060","1.063"
"Azerbaijan","31","2065","1.063"
"Azerbaijan","31","2070","1.064"
"Azerbaijan","31","2075","1.064"
"Azerbaijan","31","2080","1.064"
"Azerbaijan","31","2085","1.064"
"Azerbaijan","31","2090","1.064"
"Azerbaijan","31","2095","1.064"
"China","156","1950","1.061"
"China","156","1955","1.061"
"China","156","1960","1.062"
"China","156","1965","1.063"
"China","156","1970","1.064"
"China","156","1975","1.068"
"China","156","1980","1.076"
"China","156","1985","1.098"
"China","156","1990","1.132"
"China","156","1995","1.161"
"China","156","2000","1.175"
"China","156","2005","1.176"
"China","156","2010","1.164"
"China","156","2015","1.14"
"China","156","2020","1.112"
"China","156","2025","1.088"
"China","156","2030","1.072"
"China","156","2035","1.065"
"China","156","2040","1.062"
"China","156","2045","1.061"
"China","156","2050","1.061"
"China","156","2055","1.061"
"China","156","2060","1.061"
"China","156","2065","1.06"
"China","156","2070","1.061"
"China","156","2075","1.061"
"China","156","2080","1.061"
"China","156","2085","1.061"
"China","156","2090","1.061"
"China","156","2095","1.061"
"Georgia","268","1950","1.063"
"Georgia","268","1955","1.063"
"Georgia","268","1960","1.063"
"Georgia","268","1965","1.063"
"Georgia","268","1970","1.064"
"Georgia","268","1975","1.067"
"Georgia","268","1980","1.071"
"Georgia","268","1985","1.078"
"Georgia","268","1990","1.09"
"Georgia","268","1995","1.105"
"Georgia","268","2000","1.106"
"Georgia","268","2005","1.092"
"Georgia","268","2010","1.081"
"Georgia","268","2015","1.072"
"Georgia","268","2020","1.067"
"Georgia","268","2025","1.065"
"Georgia","268","2030","1.065"
"Georgia","268","2035","1.064"
"Georgia","268","2040","1.064"
"Georgia","268","2045","1.064"
"Georgia","268","2050","1.064"
"Georgia","268","2055","1.064"
"Georgia","268","2060","1.064"
"Georgia","268","2065","1.064"
"Georgia","268","2070","1.064"
"Georgia","268","2075","1.064"
"Georgia","268","2080","1.064"
"Georgia","268","2085","1.064"
"Georgia","268","2090","1.064"
"Georgia","268","2095","1.064"
"Hong Kong, SAR of China","344","1950","1.094"
"Hong Kong, SAR of China","344","1955","1.086"
"Hong Kong, SAR of China","344","1960","1.069"
"Hong Kong, SAR of China","344","1965","1.066"
"Hong Kong, SAR of China","344","1970","1.065"
"Hong Kong, SAR of China","344","1975","1.071"
"Hong Kong, SAR of China","344","1980","1.064"
"Hong Kong, SAR of China","344","1985","1.067"
"Hong Kong, SAR of China","344","1990","1.073"
"Hong Kong, SAR of China","344","1995","1.082"
"Hong Kong, SAR of China","344","2000","1.084"
"Hong Kong, SAR of China","344","2005","1.123"
"Hong Kong, SAR of China","344","2010","1.124"
"Hong Kong, SAR of China","344","2015","1.076"
"Hong Kong, SAR of China","344","2020","1.077"
"Hong Kong, SAR of China","344","2025","1.077"
"Hong Kong, SAR of China","344","2030","1.077"
"Hong Kong, SAR of China","344","2035","1.078"
"Hong Kong, SAR of China","344","2040","1.078"
"Hong Kong, SAR of China","344","2045","1.078"
"Hong Kong, SAR of China","344","2050","1.078"
"Hong Kong, SAR of China","344","2055","1.078"
"Hong Kong, SAR of China","344","2060","1.078"
"Hong Kong, SAR of China","344","2065","1.078"
"Hong Kong, SAR of China","344","2070","1.077"
"Hong Kong, SAR of China","344","2075","1.077"
"Hong Kong, SAR of China","344","2080","1.078"
"Hong Kong, SAR of China","344","2085","1.078"
"Hong Kong, SAR of China","344","2090","1.078"
"Hong Kong, SAR of China","344","2095","1.078"
"India","356","1950","1.051"
"India","356","1955","1.051"
"India","356","1960","1.052"
"India","356","1965","1.053"
"India","356","1970","1.056"
"India","356","1975","1.062"
"India","356","1980","1.068"
"India","356","1985","1.068"
"India","356","1990","1.076"
"India","356","1995","1.091"
"India","356","2000","1.093"
"India","356","2005","1.094"
"India","356","2010","1.093"
"India","356","2015","1.086"
"India","356","2020","1.075"
"India","356","2025","1.065"
"India","356","2030","1.058"
"India","356","2035","1.055"
"India","356","2040","1.053"
"India","356","2045","1.052"
"India","356","2050","1.052"
"India","356","2055","1.051"
"India","356","2060","1.051"
"India","356","2065","1.051"
"India","356","2070","1.051"
"India","356","2075","1.051"
"India","356","2080","1.051"
"India","356","2085","1.051"
"India","356","2090","1.051"
"India","356","2095","1.051"
"Republic of Korea","410","1950","1.063"
"Republic of Korea","410","1955","1.063"
"Republic of Korea","410","1960","1.062"
"Republic of Korea","410","1965","1.062"
"Republic of Korea","410","1970","1.061"
"Republic of Korea","410","1975","1.061"
"Republic of Korea","410","1980","1.074"
"Republic of Korea","410","1985","1.113"
"Republic of Korea","410","1990","1.145"
"Republic of Korea","410","1995","1.107"
"Republic of Korea","410","2000","1.092"
"Republic of Korea","410","2005","1.069"
"Republic of Korea","410","2010","1.058"
"Republic of Korea","410","2015","1.055"
"Republic of Korea","410","2020","1.058"
"Republic of Korea","410","2025","1.06"
"Republic of Korea","410","2030","1.061"
"Republic of Korea","410","2035","1.062"
"Republic of Korea","410","2040","1.062"
"Republic of Korea","410","2045","1.062"
"Republic of Korea","410","2050","1.062"
"Republic of Korea","410","2055","1.062"
"Republic of Korea","410","2060","1.062"
"Republic of Korea","410","2065","1.062"
"Republic of Korea","410","2070","1.062"
"Republic of Korea","410","2075","1.062"
"Republic of Korea","410","2080","1.062"
"Republic of Korea","410","2085","1.062"
"Republic of Korea","410","2090","1.062"
"Republic of Korea","410","2095","1.062"
"Montenegro","499","1950","1.056"
"Montenegro","499","1955","1.056"
"Montenegro","499","1960","1.055"
"Montenegro","499","1965","1.055"
"Montenegro","499","1970","1.055"
"Montenegro","499","1975","1.055"
"Montenegro","499","1980","1.06"
"Montenegro","499","1985","1.075"
"Montenegro","499","1990","1.09"
"Montenegro","499","1995","1.096"
"Montenegro","499","2000","1.097"
"Montenegro","499","2005","1.097"
"Montenegro","499","2010","1.088"
"Montenegro","499","2015","1.08"
"Montenegro","499","2020","1.071"
"Montenegro","499","2025","1.063"
"Montenegro","499","2030","1.059"
"Montenegro","499","2035","1.057"
"Montenegro","499","2040","1.057"
"Montenegro","499","2045","1.056"
"Montenegro","499","2050","1.056"
"Montenegro","499","2055","1.056"
"Montenegro","499","2060","1.056"
"Montenegro","499","2065","1.056"
"Montenegro","499","2070","1.056"
"Montenegro","499","2075","1.056"
"Montenegro","499","2080","1.056"
"Montenegro","499","2085","1.056"
"Montenegro","499","2090","1.056"
"Montenegro","499","2095","1.056"
"Taiwan, Province of China","158","1950","1.054"
"Taiwan, Province of China","158","1955","1.057"
"Taiwan, Province of China","158","1960","1.064"
"Taiwan, Province of China","158","1965","1.065"
"Taiwan, Province of China","158","1970","1.064"
"Taiwan, Province of China","158","1975","1.067"
"Taiwan, Province of China","158","1980","1.069"
"Taiwan, Province of China","158","1985","1.08"
"Taiwan, Province of China","158","1990","1.094"
"Taiwan, Province of China","158","1995","1.088"
"Taiwan, Province of China","158","2000","1.097"
"Taiwan, Province of China","158","2005","1.094"
"Taiwan, Province of China","158","2010","1.079"
"Taiwan, Province of China","158","2015","1.076"
"Taiwan, Province of China","158","2020","1.069"
"Taiwan, Province of China","158","2025","1.065"
"Taiwan, Province of China","158","2030","1.063"
"Taiwan, Province of China","158","2035","1.062"
"Taiwan, Province of China","158","2040","1.062"
"Taiwan, Province of China","158","2045","1.062"
"Taiwan, Province of China","158","2050","1.062"
"Taiwan, Province of China","158","2055","1.062"
"Taiwan, Province of China","158","2060","1.062"
"Taiwan, Province of China","158","2065","1.062"
"Taiwan, Province of China","158","2070","1.062"
"Taiwan, Province of China","158","2075","1.062"
"Taiwan, Province of China","158","2080","1.062"
"Taiwan, Province of China","158","2085","1.062"
"Taiwan, Province of China","158","2090","1.062"
"Taiwan, Province of China","158","2095","1.062"
"Tunisia","788","1950","1.047"
"Tunisia","788","1955","1.047"
"Tunisia","788","1960","1.047"
"Tunisia","788","1965","1.047"
"Tunisia","788","1970","1.053"
"Tunisia","788","1975","1.057"
"Tunisia","788","1980","1.057"
"Tunisia","788","1985","1.067"
"Tunisia","788","1990","1.078"
"Tunisia","788","1995","1.078"
"Tunisia","788","2000","1.083"
"Tunisia","788","2005","1.08"
"Tunisia","788","2010","1.068"
"Tunisia","788","2015","1.058"
"Tunisia","788","2020","1.052"
"Tunisia","788","2025","1.048"
"Tunisia","788","2030","1.047"
"Tunisia","788","2035","1.046"
"Tunisia","788","2040","1.046"
"Tunisia","788","2045","1.046"
"Tunisia","788","2050","1.046"
"Tunisia","788","2055","1.046"
"Tunisia","788","2060","1.046"
"Tunisia","788","2065","1.046"
"Tunisia","788","2070","1.046"
"Tunisia","788","2075","1.046"
"Tunisia","788","2080","1.046"
"Tunisia","788","2085","1.046"
"Tunisia","788","2090","1.046"
"Tunisia","788","2095","1.046"
"Viet Nam","704","1950","1.064"
"Viet Nam","704","1955","1.064"
"Viet Nam","704","1960","1.064"
"Viet Nam","704","1965","1.064"
"Viet Nam","704","1970","1.064"
"Viet Nam","704","1975","1.064"
"Viet Nam","704","1980","1.064"
"Viet Nam","704","1985","1.064"
"Viet Nam","704","1990","1.063"
"Viet Nam","704","1995","1.065"
"Viet Nam","704","2000","1.078"
"Viet Nam","704","2005","1.109"
"Viet Nam","704","2010","1.122"
"Viet Nam","704","2015","1.121"
"Viet Nam","704","2020","1.111"
"Viet Nam","704","2025","1.098"
"Viet Nam","704","2030","1.085"
"Viet Nam","704","2035","1.075"
"Viet Nam","704","2040","1.07"
"Viet Nam","704","2045","1.067"
"Viet Nam","704","2050","1.065"
"Viet Nam","704","2055","1.064"
"Viet Nam","704","2060","1.064"
"Viet Nam","704","2065","1.064"
"Viet Nam","704","2070","1.064"
"Viet Nam","704","2075","1.064"
"Viet Nam","704","2080","1.064"
"Viet Nam","704","2085","1.064"
"Viet Nam","704","2090","1.064"
"Viet Nam","704","2095","1.064"
