"year","SRB","TFR","p65","oadr","country"
1950,1.058,6.2295,3.834330248991,9.53650371212708,"Albania"
1955,1.059,6.5465,3.5100286464272,8.94150875424264,"Albania"
1960,1.059,6.23,3.83701798618292,9.5413289066775,"Albania"
1965,1.06,5.259,5.16316476156615,11.8817651871066,"Albania"
1970,1.062,4.6005,6.46791782129713,14.0872417764533,"Albania"
1975,1.07,3.9005,8.46157590811278,17.3550732301816,"Albania"
1980,1.085,3.4085,10.4722121255008,20.5935577047253,"Albania"
1985,1.079,3.1495,11.685651065027,22.543690017656,"Albania"
1990,1.079,2.786,13.8351108723939,26.0142439332984,"Albania"
1995,1.089,2.384,17.0099369026468,31.2399449909725,"Albania"
2000,1.117,1.946,21.8819426408533,39.6654748208929,"Albania"
2005,1.125,1.6405,26.2459026373274,47.8276835281806,"Albania"
2010,1.101,1.714,24.8395529038727,45.12570966923,"Albania"
2015,1.086,1.6195,26.1166519267874,47.5831098654804,"Albania"
2020,1.072,1.545,27.1754687102221,49.670867023652,"Albania"
2025,1.064,1.489,28.0518435831491,51.434698629036,"Albania"
2030,1.06,1.4615,28.4981554465864,52.3462491937212,"Albania"
2035,1.059,1.465,28.4219031246132,52.1902129487161,"Albania"
2040,1.059,1.485,28.0612253585274,51.4547894053469,"Albania"
2045,1.059,1.508,27.6542137352474,50.6319729139813,"Albania"
2050,1.059,1.533,27.2209976361392,49.7642454593677,"Albania"
2055,1.059,1.558,26.7970955757715,48.9230305441811,"Albania"
2060,1.058,1.5825,26.3783016935693,48.0996017272872,"Albania"
2065,1.058,1.6025,26.0527004970138,47.4642451888949,"Albania"
2070,1.058,1.6195,25.7802857988306,46.9359652146677,"Albania"
2075,1.058,1.636,25.5196292451175,46.4332472515576,"Albania"
2080,1.058,1.6545,25.2316843681305,45.8809856940851,"Albania"
2085,1.058,1.665,25.0702484763075,45.5727580889245,"Albania"
2090,1.058,1.6785,24.8647758586242,45.1818841491852,"Albania"
2095,1.059,1.687,24.7484605695309,44.9611213954419,"Albania"
1950,1.064,5.2,3.62353144670652,8.54486023336019,"Azerbaijan"
1955,1.064,5.5995,3.15025620935523,7.72000609827498,"Azerbaijan"
1960,1.064,6.0005,2.75703992987241,7.01380985918918,"Azerbaijan"
1965,1.063,5.4,3.37222531971374,8.11003067056224,"Azerbaijan"
1970,1.064,4.6005,4.53844822346924,10.0810751154462,"Azerbaijan"
1975,1.064,3.7995,6.33963823527939,12.9619628730557,"Azerbaijan"
1980,1.064,3.3005,7.99087038545845,15.5109795424548,"Azerbaijan"
1985,1.065,3.2,8.39909030835539,16.1335423190259,"Azerbaijan"
1990,1.076,2.9,9.8516195132809,18.3351436237368,"Azerbaijan"
1995,1.122,2.2495,14.5097279456889,25.4168032497268,"Azerbaijan"
2000,1.163,1.9,18.3103096874934,31.401813706951,"Azerbaijan"
2005,1.168,1.8295,19.183234846761,32.820734013444,"Azerbaijan"
2010,1.158,2.0895,16.2716728637289,28.1531000349982,"Azerbaijan"
2015,1.14,2.083,16.1763485782459,28.0080313841653,"Azerbaijan"
2020,1.121,1.992,16.9219365939245,29.1906880728154,"Azerbaijan"
2025,1.101,1.918,17.5303130285332,30.165653089074,"Azerbaijan"
2030,1.083,1.864,17.9678614515304,30.8731446485113,"Azerbaijan"
2035,1.071,1.8205,18.3607716713477,31.5110594303319,"Azerbaijan"
2040,1.066,1.79,18.679247336651,32.0293585013703,"Azerbaijan"
2045,1.065,1.768,18.9401919883461,32.4548746827952,"Azerbaijan"
2050,1.064,1.7545,19.0990318485902,32.7148470202863,"Azerbaijan"
2055,1.064,1.7425,19.2506734818,32.9633180780693,"Azerbaijan"
2060,1.063,1.735,19.3363132945738,33.1042320386773,"Azerbaijan"
2065,1.063,1.7345,19.3427072889336,33.1147357618028,"Azerbaijan"
2070,1.064,1.735,19.3462675794871,33.1202537440145,"Azerbaijan"
2075,1.064,1.733,19.3718664529535,33.1623188963118,"Azerbaijan"
2080,1.064,1.734,19.3590613611653,33.1412749197451,"Azerbaijan"
2085,1.064,1.7365,19.3270980863941,33.0887646531843,"Azerbaijan"
2090,1.064,1.7375,19.314332525954,33.0678003220653,"Azerbaijan"
2095,1.064,1.7405,19.2761033969802,33.0050432360375,"Azerbaijan"
1950,1.065,4.4945,5.50598122929612,11.8006683061912,"Armenia"
1955,1.064,4.8995,4.77390453191506,10.6014825585373,"Armenia"
1960,1.064,4.4535,5.58436432713139,11.9277547139777,"Armenia"
1965,1.064,3.4465,8.30819565383393,16.2198383388192,"Armenia"
1970,1.064,3.037,9.97053001140643,18.780531293354,"Armenia"
1975,1.064,2.5995,12.3158914214613,22.3849450039877,"Armenia"
1980,1.064,2.5,12.9563937538292,23.3739891782559,"Armenia"
1985,1.064,2.6,12.3127864157895,22.3801581353726,"Armenia"
1990,1.072,2.3805,13.8495868725275,24.7567093003188,"Armenia"
1995,1.144,1.75,20.4382162355508,35.3619177229618,"Armenia"
2000,1.17,1.6505,21.9457449164382,37.9307982580929,"Armenia"
2005,1.156,1.72,20.9177630060726,36.1702283259533,"Armenia"
2010,1.138,1.72,20.7556063626253,35.9021972471366,"Armenia"
2015,1.113,1.756,20.0873927626559,34.7843685159754,"Armenia"
2020,1.09,1.7585,19.8502787787323,34.3970210747187,"Armenia"
2025,1.073,1.7595,19.6848002511269,34.1281338841818,"Armenia"
2030,1.066,1.764,19.5678312430978,33.9362304962423,"Armenia"
2035,1.064,1.7655,19.5319181090422,33.8773142943849,"Armenia"
2040,1.064,1.77,19.4785826537433,33.788496470981,"Armenia"
2045,1.064,1.7705,19.4726691435459,33.778653434464,"Armenia"
2050,1.064,1.7725,19.4490403400952,33.7393323241986,"Armenia"
2055,1.064,1.7735,19.4372410611293,33.719702335206,"Armenia"
2060,1.064,1.7765,19.4019035808824,33.6609342546004,"Armenia"
2065,1.064,1.7745,19.4254518490606,33.7000926815749,"Armenia"
2070,1.064,1.776,19.4077868819224,33.6707162611179,"Armenia"
2075,1.064,1.776,19.4077868819224,33.6707162611179,"Armenia"
2080,1.064,1.777,19.3960227881882,33.6511573083724,"Armenia"
2085,1.064,1.778,19.3842687222663,33.6316185811474,"Armenia"
2090,1.064,1.779,19.3725246730253,33.6121000482078,"Armenia"
2095,1.064,1.7785,19.3783954462557,33.6218567923416,"Armenia"
1950,1.061,6.11,3.71317373205037,9.04926469659842,"China"
1955,1.061,5.4805,4.47728499427737,10.3833792839993,"China"
1960,1.062,6.15,3.67406622906334,8.97950171445601,"China"
1965,1.063,6.3005,3.52447382852358,8.71151097833888,"China"
1970,1.064,4.85,5.50177673292816,12.1091655331143,"China"
1975,1.068,3.01,11.3342764838265,21.3833239401849,"China"
1980,1.076,2.5205,14.3914038324811,26.2029062190221,"China"
1985,1.098,2.73,13.1545705889562,24.2370252534463,"China"
1990,1.132,1.8305,21.4405939330131,37.8789583538545,"China"
1995,1.161,1.6205,24.5573171492134,43.4633634623473,"China"
2000,1.175,1.6095,24.8633856739394,44.025993209418,"China"
2005,1.176,1.6205,24.710932213089,43.7425308529634,"China"
2010,1.164,1.6405,24.2966045856041,42.9816021216589,"China"
2015,1.14,1.69,23.3526512629288,41.2697652588583,"China"
2020,1.112,1.706,22.8486884788273,40.3737750517094,"China"
2025,1.088,1.7175,22.4487832161099,39.6694908576911,"China"
2030,1.072,1.7285,22.1388482343982,39.1262812260203,"China"
2035,1.065,1.7335,22.0012897653285,38.8861275203384,"China"
2040,1.062,1.7425,21.8527702416206,38.6257890293555,"China"
2045,1.061,1.7475,21.7774997419832,38.4939104336943,"China"
2050,1.061,1.7535,21.6998007020683,38.3575714653629,"China"
2055,1.061,1.7565,21.6610966966066,38.2897258156737,"China"
2060,1.061,1.761,21.6032217041945,38.1883592746868,"China"
2065,1.06,1.765,21.5417906388949,38.081246847931,"China"
2070,1.061,1.765,21.5519588746841,38.0986581623229,"China"
2075,1.061,1.767,21.5263913168474,38.0539488799103,"China"
2080,1.061,1.7685,21.5072435111476,38.0204784838348,"China"
2085,1.061,1.769,21.5008662088538,38.0093333875157,"China"
2090,1.061,1.7705,21.4817501809547,37.9759331417243,"China"
2095,1.061,1.7725,21.4562991419172,37.9314810780117,"China"
1950,1.054,6.7205,4.7727478372284,11.4456286957573,"Taiwan, Province of China"
1955,1.057,6.1385,5.47646529498278,12.6939602822978,"Taiwan, Province of China"
1960,1.064,5.4055,6.62098056722291,14.6731157819063,"Taiwan, Province of China"
1965,1.065,4.384,8.86421685661327,18.4448074648634,"Taiwan, Province of China"
1970,1.064,3.3305,12.6210072356999,24.6599779068047,"Taiwan, Province of China"
1975,1.067,2.7425,15.8991904111978,30.1487322736441,"Taiwan, Province of China"
1980,1.069,2.2325,19.8882864148902,37.0730086330331,"Taiwan, Province of China"
1985,1.08,1.767,25.0891983041977,46.7338998732949,"Taiwan, Province of China"
1990,1.094,1.759,25.3371823517523,47.2125310133662,"Taiwan, Province of China"
1995,1.088,1.668,26.5077404442212,49.528380242427,"Taiwan, Province of China"
2000,1.097,1.325,32.163741685224,61.5580697720455,"Taiwan, Province of China"
2005,1.094,1.0515,37.9217320562607,75.6469534878122,"Taiwan, Province of China"
2010,1.079,1.1055,36.4924489406621,71.9518309335636,"Taiwan, Province of China"
2015,1.076,1.1495,35.4772323399962,69.4105661924568,"Taiwan, Province of China"
2020,1.069,1.2355,33.5921703315065,64.87063472113,"Taiwan, Province of China"
2025,1.065,1.3075,32.1398060078617,61.5181219384267,"Taiwan, Province of China"
2030,1.063,1.3705,30.9575324768381,58.8750098685011,"Taiwan, Province of China"
2035,1.062,1.4225,30.0357806043022,56.8646201266397,"Taiwan, Province of China"
2040,1.062,1.4635,29.345763008065,55.3868962518898,"Taiwan, Province of China"
2045,1.062,1.5035,28.6952305409288,54.0144762818682,"Taiwan, Province of China"
2050,1.062,1.5345,28.2058247325439,52.9948127772983,"Taiwan, Province of China"
2055,1.062,1.561,27.7973146847304,52.1518889152275,"Taiwan, Province of China"
2060,1.062,1.584,27.4499059982495,51.4407741821284,"Taiwan, Province of China"
2065,1.062,1.6015,27.1899151954986,50.911977308119,"Taiwan, Province of China"
2070,1.062,1.6195,26.9263285557242,50.378773141819,"Taiwan, Province of China"
2075,1.062,1.631,26.7599264754899,50.0436486852438,"Taiwan, Province of China"
2080,1.062,1.645,26.5594225796836,49.6413555041186,"Taiwan, Province of China"
2085,1.062,1.6565,26.3964030387426,49.3154756432908,"Taiwan, Province of China"
2090,1.062,1.666,26.2628635309324,49.0493241077488,"Taiwan, Province of China"
2095,1.062,1.6745,26.1442374925081,48.8134931173253,"Taiwan, Province of China"
1950,1.094,4.4395,10.0319722134583,20.9701337734571,"Hong Kong, SAR of China"
1955,1.086,4.7205,9.19127260432436,19.5420138308582,"Hong Kong, SAR of China"
1960,1.069,5.05,8.28734262522529,17.9993162588658,"Hong Kong, SAR of China"
1965,1.066,3.6455,12.7293726451078,25.5516614692464,"Hong Kong, SAR of China"
1970,1.065,3.0095,16.0230850104686,31.2066940290511,"Hong Kong, SAR of China"
1975,1.071,2.23,22.210285400853,42.3638851061168,"Hong Kong, SAR of China"
1980,1.064,1.7155,28.2964703269275,54.4741981644177,"Hong Kong, SAR of China"
1985,1.067,1.3565,34.2432810543662,67.8942508135536,"Hong Kong, SAR of China"
1990,1.073,1.2595,36.2209899759299,72.8034060677298,"Hong Kong, SAR of China"
1995,1.082,1.06,40.7778042532172,85.186649889955,"Hong Kong, SAR of China"
2000,1.084,0.9505,43.5995394599412,93.7464102903709,"Hong Kong, SAR of China"
2005,1.123,1.036,41.8226640972359,88.2383236087601,"Hong Kong, SAR of China"
2010,1.124,1.2035,37.9670597705874,77.3267795716274,"Hong Kong, SAR of China"
2015,1.076,1.326,34.9291138121063,69.5634598554293,"Hong Kong, SAR of China"
2020,1.077,1.413,33.3110113735405,65.6565986343972,"Hong Kong, SAR of China"
2025,1.077,1.483,32.0798639790466,62.7877395172667,"Hong Kong, SAR of China"
2030,1.077,1.5365,31.1834939765067,60.7514133690574,"Hong Kong, SAR of China"
2035,1.078,1.5835,30.4371286450321,59.0872620715433,"Hong Kong, SAR of China"
2040,1.078,1.618,29.8982036332674,57.9034355808252,"Hong Kong, SAR of China"
2045,1.078,1.645,29.4861680743536,57.0078617138069,"Hong Kong, SAR of China"
2050,1.078,1.6675,29.1491535142984,56.2813387338049,"Hong Kong, SAR of China"
2055,1.078,1.685,28.8909341664649,55.7282589346146,"Hong Kong, SAR of China"
2060,1.078,1.701,28.6577823420506,55.2314983708185,"Hong Kong, SAR of China"
2065,1.078,1.715,28.4560386070636,54.8036428603253,"Hong Kong, SAR of China"
2070,1.077,1.725,28.3023639342523,54.4794978906054,"Hong Kong, SAR of China"
2075,1.077,1.7325,28.1959476130203,54.2552702845947,"Hong Kong, SAR of China"
2080,1.078,1.737,28.143210951107,54.1437948428803,"Hong Kong, SAR of China"
2085,1.078,1.743,28.058772854364,53.9664296641906,"Hong Kong, SAR of China"
2090,1.078,1.746,28.0166935960606,53.8781572209589,"Hong Kong, SAR of China"
2095,1.078,1.7505,27.9537486904644,53.7462576879016,"Hong Kong, SAR of China"
1950,1.051,5.903,3.19188610849875,7.72407259433477,"India"
1955,1.051,5.8955,3.19901027405181,7.73660340111022,"India"
1960,1.052,5.8905,3.20641861004518,7.74956791341606,"India"
1965,1.053,5.723,3.37490085202703,8.04403590083854,"India"
1970,1.056,5.4105,3.72793342621483,8.65146676335356,"India"
1975,1.062,4.974,4.32044020540295,9.64652540923407,"India"
1980,1.068,4.6815,4.80082464043667,10.4351331354483,"India"
1985,1.068,4.266,5.58385406644554,11.6947167180073,"India"
1990,1.076,3.8335,6.64694262755479,13.3658624339173,"India"
1995,1.091,3.483,7.77171138472363,15.1017644635222,"India"
2000,1.093,3.141,9.05420409404074,17.0598446295968,"India"
2005,1.094,2.7965,10.6645382796616,19.5057538209495,"India"
2010,1.093,2.396,13.0827496268998,23.1938960904134,"India"
2015,1.086,2.24,14.1857301731216,24.8952465186848,"India"
2020,1.075,2.139,14.9216658462082,26.0406617957216,"India"
2025,1.065,2.053,15.5930230432371,27.0932572098874,"India"
2030,1.058,1.982,16.1965293600616,28.0461183298986,"India"
2035,1.055,1.916,16.8236194361562,29.0431229187924,"India"
2040,1.053,1.8625,17.3630258659732,29.9071977781351,"India"
2045,1.052,1.82,17.8155612918447,30.6369750499209,"India"
2050,1.052,1.7885,18.1692214934999,31.2104792593585,"India"
2055,1.051,1.7605,18.482452874031,31.7210832883856,"India"
2060,1.051,1.743,18.688328944878,32.0578990392759,"India"
2065,1.051,1.7285,18.8613974760537,32.3418656653223,"India"
2070,1.051,1.7175,18.9942191242363,32.5603146577844,"India"
2075,1.051,1.714,19.0367602595187,32.6303773414271,"India"
2080,1.051,1.7085,19.1038856047115,32.7410242920658,"India"
2085,1.051,1.711,19.0733323111349,32.690646829067,"India"
2090,1.051,1.7125,19.055033773378,32.660487121757,"India"
2095,1.051,1.7135,19.0428486531393,32.6404083950275,"India"
1950,1.063,2.7495,10.5897194967061,19.4160272806396,"Georgia"
1955,1.063,2.909,9.79037976359758,18.2048568674375,"Georgia"
1960,1.063,2.9305,9.68911263967063,18.051328023686,"Georgia"
1965,1.063,2.8005,10.3245650980476,19.0143263130683,"Georgia"
1970,1.064,2.601,11.4242837113324,20.6806133356722,"Georgia"
1975,1.067,2.389,12.7915082426742,22.7586797844944,"Georgia"
1980,1.071,2.2685,13.6858406459565,24.1252950331181,"Georgia"
1985,1.078,2.2635,13.7733771859264,24.2563019679309,"Georgia"
1990,1.09,2.0495,15.6261394655335,27.118862831946,"Georgia"
1995,1.105,1.72,19.1413945044297,32.7233404562604,"Georgia"
2000,1.106,1.5805,20.9011274091608,35.6422346525377,"Georgia"
2005,1.092,1.8005,18.1173632274761,31.0681163567025,"Georgia"
2010,1.081,1.9995,16.0146081406238,27.7317724767482,"Georgia"
2015,1.072,2.0615,15.3831104144652,26.7489785351634,"Georgia"
2020,1.067,2.0155,15.7592912444413,27.3391175793941,"Georgia"
2025,1.065,1.9755,16.1164469992816,27.9002478424006,"Georgia"
2030,1.065,1.9435,16.4232785676265,28.3832265542499,"Georgia"
2035,1.064,1.914,16.7054593302519,28.8295139372078,"Georgia"
2040,1.064,1.894,16.906123978169,29.1474264978788,"Georgia"
2045,1.064,1.8755,17.0947229317809,29.4469537938243,"Georgia"
2050,1.064,1.86,17.25498901346,29.7020519430614,"Georgia"
2055,1.064,1.849,17.3699913238828,29.8854304800275,"Georgia"
2060,1.064,1.836,17.5072764980443,30.1047042893726,"Georgia"
2065,1.064,1.8275,17.5978537559253,30.2495950873371,"Georgia"
2070,1.064,1.819,17.6890815381049,30.3957049354999,"Georgia"
2075,1.064,1.814,17.7430512428095,30.4822274975917,"Georgia"
2080,1.064,1.8085,17.8026817866454,30.5778993667247,"Georgia"
2085,1.064,1.8025,17.8680504540088,30.6828673897727,"Georgia"
2090,1.064,1.797,17.9282642688455,30.7796415108044,"Georgia"
2095,1.064,1.7955,17.9447350119157,30.8061269184814,"Georgia"
1950,1.063,5.653,6.81991749548228,15.3115309710921,"Republic of Korea"
1955,1.063,6.3325,5.80440188258864,13.550772981789,"Republic of Korea"
1960,1.062,5.6,6.90591072331938,15.4590033464431,"Republic of Korea"
1965,1.062,4.6505,8.8910212474293,18.8125371802204,"Republic of Korea"
1970,1.061,4.0025,10.7860810826588,21.9659718854838,"Republic of Korea"
1975,1.061,2.919,15.6979904537223,30.1752589072691,"Republic of Korea"
1980,1.074,2.234,20.9132574209475,39.2790719635211,"Republic of Korea"
1985,1.113,1.567,29.1225833708045,55.194951353384,"Republic of Korea"
1990,1.145,1.676,27.8807925402965,52.6019808707615,"Republic of Korea"
1995,1.107,1.5005,30.0768651501831,57.225008905975,"Republic of Korea"
2000,1.092,1.2135,34.9736434849709,68.3775877951587,"Republic of Korea"
2005,1.069,1.1735,35.5420352833527,69.7799472296169,"Republic of Korea"
2010,1.058,1.2335,34.2322604703935,66.629314550241,"Republic of Korea"
2015,1.055,1.1105,36.7227832390933,72.7351449742843,"Republic of Korea"
2020,1.058,1.075,37.5337533448687,74.8098673344477,"Republic of Korea"
2025,1.06,1.094,37.1337963208959,73.7778402396134,"Republic of Korea"
2030,1.061,1.1815,35.296441668144,69.1858102516954,"Republic of Korea"
2035,1.062,1.2535,33.8883433274759,65.81400562472,"Republic of Korea"
2040,1.062,1.3225,32.6078791098703,62.8508966555351,"Republic of Korea"
2045,1.062,1.385,31.5096869691751,60.3820492781626,"Republic of Korea"
2050,1.062,1.438,30.6212998532768,58.4309889598247,"Republic of Korea"
2055,1.062,1.483,29.8961523212996,56.8675266431616,"Republic of Korea"
2060,1.062,1.5225,29.2806366238419,55.5601285787242,"Republic of Korea"
2065,1.062,1.5555,28.7808542309291,54.5114094245706,"Republic of Korea"
2070,1.062,1.5845,28.3521318523284,53.6207164963358,"Republic of Korea"
2075,1.062,1.6065,28.0332478854874,52.9634347327895,"Republic of Korea"
2080,1.062,1.6265,27.7479962374868,52.3791730120257,"Republic of Korea"
2085,1.062,1.6405,27.5509015235641,51.9774858521626,"Republic of Korea"
2090,1.062,1.654,27.3628272368415,51.5956936772816,"Republic of Korea"
2095,1.062,1.668,27.1698134962876,51.2053915932082,"Republic of Korea"
1950,1.056,4.3465,6.76370953152701,13.9822074289305,"Montenegro"
1955,1.056,3.795,8.1934975745557,16.2386870567598,"Montenegro"
1960,1.055,3.417,9.44180109056912,18.1861643632501,"Montenegro"
1965,1.055,2.8895,11.724259126647,21.7331325472515,"Montenegro"
1970,1.055,2.618,13.2300346528532,24.0851414273424,"Montenegro"
1975,1.055,2.306,15.3413038326578,27.4248291552083,"Montenegro"
1980,1.06,2.2125,16.1111484373915,28.6576592230819,"Montenegro"
1985,1.075,2.106,17.1309914525419,30.3046314213859,"Montenegro"
1990,1.09,2.0455,17.8004660030375,31.3954099147438,"Montenegro"
1995,1.096,1.91,19.1744404980166,33.6743967692992,"Montenegro"
2000,1.097,1.8535,19.7786795279451,34.6919502092943,"Montenegro"
2005,1.097,1.82,20.1448922999711,35.3135692727244,"Montenegro"
2010,1.088,1.7105,21.3333085557676,37.3600183123293,"Montenegro"
2015,1.08,1.751,20.7791972774797,36.4053456581578,"Montenegro"
2020,1.071,1.742,20.8037261687671,36.4509717911667,"Montenegro"
2025,1.063,1.735,20.8139409649929,36.4716293933892,"Montenegro"
2030,1.059,1.73,20.8368490333152,36.5126227897775,"Montenegro"
2035,1.057,1.7255,20.8721087766071,36.5741418691222,"Montenegro"
2040,1.057,1.7245,20.8840032293731,36.5946400380649,"Montenegro"
2045,1.056,1.726,20.8570824741412,36.5486425677724,"Montenegro"
2050,1.056,1.726,20.8570824741412,36.5486425677724,"Montenegro"
2055,1.056,1.73,20.8096344592528,36.4669343993003,"Montenegro"
2060,1.056,1.7315,20.7918827272642,36.4363815708326,"Montenegro"
2065,1.056,1.7325,20.780060715827,36.4160395148225,"Montenegro"
2070,1.056,1.7355,20.7446544451427,36.3551401654309,"Montenegro"
2075,1.056,1.739,20.7034601121103,36.2843304158967,"Montenegro"
2080,1.056,1.7415,20.6741098310696,36.2339091934396,"Montenegro"
2085,1.056,1.743,20.6565292759236,36.2037190838848,"Montenegro"
2090,1.056,1.7465,20.6155941105211,36.1334574401294,"Montenegro"
2095,1.056,1.7515,20.5573236931158,36.0335232529536,"Montenegro"
1950,1.064,5.3995,4.65933991166777,10.7455871428519,"Viet Nam"
1955,1.064,6.164,3.7135217358266,9.08080728752324,"Viet Nam"
1960,1.064,6.418,3.46000764124599,8.6212668548466,"Viet Nam"
1965,1.064,6.4645,3.41629683745365,8.54134803466003,"Viet Nam"
1970,1.064,6.328,3.54691614280902,8.77955179049846,"Viet Nam"
1975,1.064,5.499,4.51792962776988,10.5009324728055,"Viet Nam"
1980,1.064,4.601,6.06325557868264,13.1158401406352,"Viet Nam"
1985,1.064,3.8495,8.00949232107349,16.289119742126,"Viet Nam"
1990,1.063,3.228,10.361128324119,20.0493203477091,"Viet Nam"
1995,1.065,2.249,16.6519132096285,30.2151178897044,"Viet Nam"
2000,1.078,1.9205,20.1018417009729,36.0678884026953,"Viet Nam"
2005,1.109,1.928,20.3101840600002,36.4172289080651,"Viet Nam"
2010,1.122,1.9625,20.0392729761259,35.939475397507,"Viet Nam"
2015,1.121,2.055,19.0252852030964,34.1905307323066,"Viet Nam"
2020,1.111,2.019,19.3153128218932,34.6924179643511,"Viet Nam"
2025,1.098,1.9905,19.5038142015606,35.0226799619391,"Viet Nam"
2030,1.085,1.9645,19.6692810584106,35.3141918269963,"Viet Nam"
2035,1.075,1.945,19.7936189463846,35.5339289003917,"Viet Nam"
2040,1.07,1.9295,19.9221910284618,35.7592172564102,"Viet Nam"
2045,1.067,1.917,20.0370478561676,35.9601988366979,"Viet Nam"
2050,1.065,1.9085,20.1162464496125,36.0989704252221,"Viet Nam"
2055,1.064,1.8995,20.2115006505146,36.2654545088729,"Viet Nam"
2060,1.064,1.893,20.287709186668,36.3984590621983,"Viet Nam"
2065,1.064,1.888,20.3466071222901,36.5013627723804,"Viet Nam"
2070,1.064,1.882,20.4176033819327,36.6255332649261,"Viet Nam"
2075,1.064,1.88,20.441346425589,36.667090821363,"Viet Nam"
2080,1.064,1.873,20.5247543419648,36.8132063296726,"Viet Nam"
2085,1.064,1.8665,20.6026348724709,36.9498171653733,"Viet Nam"
2090,1.064,1.8625,20.6507685962079,37.0343354624615,"Viet Nam"
2095,1.064,1.8615,20.6628267995022,37.0555189295546,"Viet Nam"
1950,1.047,6.6505,3.81513869607815,9.23286779587481,"Tunisia"
1955,1.047,6.8505,3.63983852923117,8.92129097426854,"Tunisia"
1960,1.047,6.9895,3.52496919942028,8.7154661623518,"Tunisia"
1965,1.047,6.92,3.58171914142096,8.81732178463068,"Tunisia"
1970,1.053,6.385,4.08568378246828,9.70757397610341,"Tunisia"
1975,1.057,5.6495,4.94875660084698,11.1865257610444,"Tunisia"
1980,1.057,4.821,6.26461382808367,13.3643859739888,"Tunisia"
1985,1.067,4.0015,8.20367596515571,16.4726560488697,"Tunisia"
1990,1.078,2.9805,12.1102369230188,22.6187257197901,"Tunisia"
1995,1.078,2.3435,16.0365431437843,28.8837530779513,"Tunisia"
2000,1.083,2.0395,18.6545313711331,33.1997329501997,"Tunisia"
2005,1.08,2.024,18.7761379723387,33.4048151958061,"Tunisia"
2010,1.068,2.252,16.6709991474398,29.9202429095424,"Tunisia"
2015,1.058,2.2,17.0152636596382,30.4872569823093,"Tunisia"
2020,1.052,2.0965,17.8620679755262,31.8869238770965,"Tunisia"
2025,1.048,2.016,18.5741892199505,33.0758224457171,"Tunisia"
2030,1.047,1.9605,19.1072766403011,33.9729657498345,"Tunisia"
2035,1.046,1.914,19.5705900010246,34.7584114337127,"Tunisia"
2040,1.046,1.8775,19.9535069086022,35.4114423267797,"Tunisia"
2045,1.046,1.849,20.2603050686993,35.9374544089298,"Tunisia"
2050,1.046,1.828,20.4908836775269,36.3344640055044,"Tunisia"
2055,1.046,1.8155,20.6299930169307,36.5746908040172,"Tunisia"
2060,1.046,1.8035,20.7648654503434,36.8081168470209,"Tunisia"
2065,1.046,1.7955,20.8555113340445,36.9652873134717,"Tunisia"
2070,1.046,1.7905,20.9124646403861,37.064157690318,"Tunisia"
2075,1.046,1.7875,20.9467478981223,37.1237176841032,"Tunisia"
2080,1.046,1.783,20.9983299736406,37.2133941335655,"Tunisia"
2085,1.046,1.781,21.021316096249,37.2533805509452,"Tunisia"
2090,1.046,1.781,21.021316096249,37.2533805509452,"Tunisia"
2095,1.046,1.778,21.0558656249501,37.3135111465035,"Tunisia"
